#LandmarkId	Lat	Long	Coverage radius	Comment	Earth radius	Distance to #1	Distance to #2	Distance to #3	Distance to #4	Distance to #5	Distance to #6	Distance to #7	Distance to #8	Distance to #9	Distance to #10	Distance to #11	Distance to #12	Distance to #13	Distance to #14	Distance to #15	Distance to #16	Distance to #17	Distance to #18	Distance to #19	Distance to #20
40	0,02	0				6744083,709	1957885,048	111217,3357	6329377,201	155684,9114	4892302,828	2223,902024	2223,902024	2223,902024	2346769,345	2354512,918	5906555,568	10009782,67	20012894,31	10005335,2	10009783,01	6329377,201	158830,0661	158830,0661	162846,3604
41	0	-0,001				6746290,532	1959492,599	111306,2963	6331574,308	157171,0269	4894070,691	111,1951053	111,1951053	111,1951053	2345092,057	2352830,55	5908765,139	10007557,17	20015007,02	10007559,11	10007559,11	6331574,308	157171,0269	157171,0269	161151,9445
42	-0,003	-0,001				6746618,512	1959721,711	111306,7961	6331900,348	157407,2198	4894325,108	351,6297846	351,6297846	351,6297846	2344852,128	2352589,816	5909093,688	10007223,63	20014766,58	10007892,69	10007225,52	6331900,348	156935,1876	156935,1876	160910,4133
43	0,004	-0,004				6745914,136	1959429,686	111640,7675	6331210,149	156620,6136	4893947,257	629,0144755	629,0144755	629,0144755	2345180,289	2352920,691	5908384,83	10007996,06	20014489,2	10007114,33	10008003,89	6331210,149	157250,9338	157250,9338	161245,2183
44	-0,004	-0,005				6746809,045	1960121,361	111751,9617	6332103,101	157172,6479	4894697,59	711,9960426	711,9960426	711,9960426	2344463,137	2352201,672	5909280,208	10007104,69	20014406,22	10008003,89	10007114,33	6332103,101	156542,0126	156542,0126	160523,1268
45	-0,003	0,003				6746537,321	1959398,471	110862,0177	6331806,292	157721,389	4894037,448	471,760859	471,760859	471,760859	2345161,178	2352897,752	5909016,706	10007231,39	20014646,45	10007892,69	10007225,52	6331806,292	157250,2997	157250,2997	161217,7525
46	-89	-90				16600956	11366716,59	10009499,63	16156386,24	10116796,75	13624286	10007559,11	10007559,11	10007559,11	8311097,422	8299979,61	15813531,66	0	10007559,11	19903923,11	111195,1012	16156386,24	9894440,413	9894440,413	9888881,505
47	-89	-89,8				16600583,48	11366337,95	10009111,55	16156014,15	10116408,7	13623954,58	10007170,98	10007170,98	10007170,98	8310722,242	8299604,427	15813151,53	388,1242177	10007947,23	19903923,11	111195,1012	16156014,15	9894052,358	9894052,358	9888493,45
48		179				-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
49	3					-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
50						-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
51	-0,004	1				6726937,925	1880410,371	444,780401	6309076,672	248828,9832	4823016,082	111195,9906	111195,9906	111195,9906	2423371,392	2430834,066	5890645,522	10009054,92	19903922,22	10008003,89	10007114,33	6309076,672	248431,0631	248431,0631	250957,9198
52	-0,004	2				6708233,683	1804370,9	111195,9906	6287389,649	351754,6893	4752917,693	222390,647	222390,647	222390,647	2504252,84	2511449,861	5873533,24	10010994,85	19792727,56	10008003,89	10007114,33	6287389,649	351473,2442	351473,2442	353262,9062
53	-0,004	3				6690605,702	1732029,554	222390,647	6266939,057	458555,4026	4684099,917	333585,5998	333585,5998	333585,5998	2587272,039	2594212,711	5857860,928	10012933,6	19681532,61	10008003,89	10007114,33	6266939,057	458339,4668	458339,4668	459712,3049
54	-0,004	4				6674064,346	1663869,042	333585,5998	6247738,854	567045,8079	4616622,121	444780,6267	444780,6267	444780,6267	2672229,289	2678923,16	5843641,38	10014870,58	19570337,59	10008003,89	10007114,33	6247738,854	566871,1206	566871,1206	567980,6707
55	-0,004	5				6658619,431	1600423,887	444780,6267	6229802,296	676413,3585	4550545,951	555975,6833	555975,6833	555975,6833	2758945,08	2765401,754	5830886,315	10016805,2	19459142,53	10008003,89	10007114,33	6229802,296	676266,8408	676266,8408	677196,1273
56	-0,004	6				6644280,201	1542276,375	555975,6833	6213141,909	786292,1239	4485935,327	667170,7548	667170,7548	667170,7548	2847258,251	2853487,241	5819606,339	10018736,86	19347947,46	10008003,89	10007114,33	6213141,909	786166,0012	786166,0012	786964,4574
57	-0,004	7				6631055,309	1490047,062	667170,7548	6197769,448	896494,1503	4422856,399	778365,8347	778365,8347	778365,8347	2937024,207	2943034,833	5809810,906	10020664,99	19236752,38	10008003,89	10007114,33	6197769,448	896383,4491	896383,4491	897082,7303
58	-0,004	8				6618952,795	1444378,302	778365,8347	6183695,864	1006913,303	4361377,49	889560,9199	889560,9199	889560,9199	3028113,237	3033914,547	5801508,284	10022588,99	19125557,29	10008003,89	10007114,33	6183695,864	1006814,657	1006814,657	1007436,198
59	-0,004	9				6607980,07	1405909,739	889560,9199	6170931,273	1117485,218	4301569,009	1000756,009	1000756,009	1000756,009	3120408,948	3126009,67	5794705,52	10024508,28	19014362,2	10008003,89	10007114,33	6170931,273	1117396,248	1117396,248	1117955,212
60	-0,004	10				6598143,893	1375245,864	1000756,009	6159484,926	1228168,635	4243503,328	1111951,1	1111951,1	1111951,1	3213806,843	3219215,348	5789408,419	10026422,27	18903167,11	10008003,89	10007114,33	6159484,926	1228087,597	1228087,597	1228595,094
61	-0,004	11				6589450,361	1352917,574	1111951,1	6149365,181	1338935,899	4187254,632	1223146,193	1223146,193	1223146,193	3308213,023	3313437,31	5785621,519	10028330,38	18791972,02	10008003,89	10007114,33	6149365,181	1338861,478	1338861,478	1339325,889
62	-0,004	12				6581904,888	1339341,905	1223146,193	6140579,472	1449767,789	4132898,728	1334341,287	1334341,287	1334341,287	3403543,029	3408590,713	5783348,074	10030232,03	18680776,92	10008003,89	10007114,33	6140579,472	1449698,971	1449698,971	1450126,767
63	-0,004	13				6575512,196	1334785,995	1334341,287	6133134,296	1560650,535	4080512,812	1445536,383	1445536,383	1445536,383	3499720,799	3504599,115	5782590,042	10032126,64	18569581,83	10008003,89	10007114,33	6133134,296	1560586,518	1560586,518	1560982,802
64	-0,004	14				6570276,299	1339341,905	1445536,383	6127035,182	1671574,013	4030175,193	1556731,479	1556731,479	1556731,479	3596677,745	3601393,55	5783348,074	10034013,63	18458386,73	10008003,89	10007114,33	6127035,182	1671514,156	1671514,156	1671883,019
65	-0,004	15				6566200,496	1352917,574	1556731,479	6122286,681	1782530,617	3981964,975	1667926,576	1667926,576	1667926,576	3694351,933	3698911,716	5785621,519	10035892,44	18347191,64	10008003,89	10007114,33	6122286,681	1782474,397	1782474,397	1782819,171
66	-0,004	16				6563287,364	1375245,864	1667926,576	6118892,345	1893514,521	3935961,688	1779121,673	1779121,673	1779121,673	3792687,348	3797097,247	5789408,419	10037762,47	18235996,54	10008003,89	10007114,33	6118892,345	1893461,507	1893461,507	1893784,939
67	-0,004	17				6561538,746	1405909,739	1779121,673	6116854,723	2004521,188	3892244,872	1890316,771	1890316,771	1890316,771	3891633,259	3895899,068	5794705,52	10039623,18	18124801,44	10008003,89	10007114,33	6116854,723	2004471,02	2004471,02	2004775,403
68	-0,004	18				6560955,75	1444378,302	1890316,771	6116175,345	2115547,031	3850893,614	2001511,869	2001511,869	2001511,869	3991143,642	3995270,833	5801508,284	10041473,98	18013606,34	10008003,89	10007114,33	6116175,345	2115499,407	2115499,407	2115786,673
69	-0,004	19				6561538,746	1490047,062	2001511,869	6116854,723	2226589,181	3811986,043	2112706,967	2112706,967	2112706,967	4091176,681	4095170,416	5809810,906	10043314,33	17902411,24	10008003,89	10007114,33	6116854,723	2226543,841	2226543,841	2226815,635
70	-0,004	20				6563287,364	1542276,375	2112706,967	6118892,345	2337645,309	3775598,779	2223902,066	2223902,066	2223902,066	4191694,318	4195559,468	5819606,339	10045143,64	17791216,15	10008003,89	10007114,33	6118892,345	2337602,033	2337602,033	2337859,766
71	-0,004	21				6566200,496	1600423,887	2223902,066	6122286,681	2448713,512	3741806,349	2335097,165	2335097,165	2335097,165	4292661,863	4296403,023	5830886,315	10046961,38	17680021,05	10008003,89	10007114,33	6122286,681	2448672,108	2448672,108	2448916,997
72	-0,004	22				6570276,299	1663869,042	2335097,165	6127035,182	2559792,216	3710680,568	2446292,264	2446292,264	2446292,264	4394047,643	4397669,147	5843641,38	10048766,98	17568825,95	10008003,89	10007114,33	6127035,182	2559752,516	2559752,516	2559985,623
73	-0,004	23				6575512,196	1732029,554	2446292,264	6133134,296	2670880,106	3682289,906	2557487,364	2557487,364	2557487,364	4495822,697	4499328,631	5857860,928	10050559,9	17457630,85	10008003,89	10007114,33	6133134,296	2670841,966	2670841,966	2671064,217
74	-0,004	24				6581904,888	1804370,9	2557487,364	6140579,472	2781976,081	3656698,841	2668682,463	2668682,463	2668682,463	4597960,494	4601354,718	5873533,24	10052339,59	17346435,75	10008003,89	10007114,33	6140579,472	2781939,371	2781939,371	2782151,584
75	-0,004	25				6589450,361	1880410,371	2668682,463	6149365,181	2893079,205	3633967,211	2779877,563	2779877,563	2779877,563	4700436,7	4703722,853	5890645,522	10054105,5	17235240,65	10008003,89	10007114,33	6149365,181	2893043,813	2893043,813	2893246,708
76	-0,004	26				6598143,893	1959717,276	2779877,563	6159484,926	3004188,683	3614149,583	2891072,662	2891072,662	2891072,662	4803228,955	4806410,473	5909183,957	10055857,11	17124045,55	10008003,89	10007114,33	6159484,926	3004154,507	3004154,507	3004348,728
77	-0,004	27				6607980,07	2041910,662	2891072,662	6170931,273	3115303,832	3597294,651	3002267,762	3002267,762	3002267,762	4906316,683	4909396,811	5929133,744	10057593,86	17012850,45	10008003,89	10007114,33	6170931,273	3115270,781	3115270,781	3115456,901
78	-0,004	28				6618952,795	2126655,59	3002267,762	6183695,864	3226424,064	3583444,67	3113462,862	3113462,862	3113462,862	5009680,921	5012662,723	5950479,156	10059315,25	16901655,35	10008003,89	10007114,33	6183695,864	3226392,057	3226392,057	3226570,589
79	-0,004	29				6631055,309	2213658,745	3113462,862	6197769,448	3337548,867	3572634,959	3224657,962	3224657,962	3224657,962	5113304,168	5116190,538	5973203,584	10061020,74	16790460,25	10008003,89	10007114,33	6197769,448	3337517,831	3337517,831	3337689,237
80	-0,004	30				6644280,201	2302663,864	3224657,962	6213141,909	3448677,797	3564893,463	3335853,062	3335853,062	3335853,062	5217170,244	5219963,918	5997289,596	10062709,81	16679265,15	10008003,89	10007114,33	6213141,909	3448647,666	3448647,666	3448812,364
81	-0,004	31				6658619,431	2393447,304	3335853,062	6229802,296	3559810,464	3560240,404	3447048,162	3447048,162	3447048,162	5321264,172	5323967,736	6022718,987	10064381,95	16568070,05	10008003,89	10007114,33	6229802,296	3559781,179	3559781,179	3559939,546
82	-0,004	32				6674064,346	2485813,915	3447048,162	6247738,854	3670946,526	3558688,018	3558243,263	3558243,263	3558243,263	5425572,068	5428187,968	6049472,837	10066036,65	16456874,95	10008003,89	10007114,33	6247738,854	3670918,032	3670918,032	3671070,411
83	-0,004	33				6690605,702	2579593,31	3558243,263	6266939,057	3782085,681	3560240,404	3669438,363	3669438,363	3669438,363	5530081,043	5532611,59	6077531,564	10067673,4	16345679,85	10008003,89	10007114,33	6266939,057	3782057,927	3782057,927	3782204,633
84	-0,004	34				6708233,683	2674636,549	3669438,363	6287389,649	3893227,66	3564893,463	3780633,463	3780633,463	3780633,463	5634779,111	5637226,495	6106874,981	10069291,71	16234484,75	10008003,89	10007114,33	6287389,649	3893200,602	3893200,602	3893341,918
85	-0,004	35				6726937,925	2770813,237	3780633,463	6309076,672	4004372,226	3572634,959	3891828,563	3891828,563	3891828,563	5739655,116	5742021,408	6137482,351	10070891,09	16123289,65	10008003,89	10007114,33	6309076,672	4004345,821	4004345,821	4004482,01
86	-0,004	36				6746707,539	2868008,998	3891828,563	6331985,512	4115519,165	3583444,67	4003023,664	4003023,664	4003023,664	5844698,656	5846985,817	6169332,439	10072471,04	16012094,55	10008003,89	10007114,33	6331985,512	4115493,375	4115493,375	4115624,677
87	-0,004	37				6767531,134	2966123,296	4003023,664	6356100,932	4226668,288	3597294,651	4114218,764	4114218,764	4114218,764	5949900,021	5952109,906	6202403,569	10074031,08	15900899,45	10008003,89	10007114,33	6356100,932	4226643,078	4226643,078	4226769,713
88	-0,004	38				6789396,839	3065067,563	4114218,764	6381407,114	4337819,423	3614149,583	4225413,865	4225413,865	4225413,865	6055250,132	6057384,499	6236673,677	10075570,75	15789704,35	10008003,89	10007114,33	6381407,114	4337794,759	4337794,759	4337916,931
89	-0,004	39				6812292,331	3164763,585	4225413,865	6407887,696	4448972,415	3633967,211	4336608,965	4336608,965	4336608,965	6160740,492	6162801,005	6272120,356	10077089,57	15678509,25	10008003,89	10007114,33	6407887,696	4448948,268	4448948,268	4449066,165
90	-0,004	40				6836204,859	3265142,127	4336608,965	6435525,812	4560127,127	3656698,841	4447804,066	4447804,066	4447804,066	6266363,135	6268351,371	6308720,916	10078587,07	15567314,15	10008003,89	10007114,33	6435525,812	4560103,468	4560103,468	4560217,264
91	-0,004	41				6861121,267	3366141,752	4447804,066	6464304,134	4671283,431	3682289,906	4558999,166	4558999,166	4558999,166	6372110,582	6374028,034	6346452,42	10080062,8	15456119,05	10008003,89	10007114,33	6464304,134	4671260,234	4671260,234	4671370,09
92	-0,004	42				6887028,019	3467707,805	4558999,166	6494204,909	4782441,214	3710680,568	4670194,267	4670194,267	4670194,267	6477975,806	6479823,889	6385291,742	10081516,32	15344923,95	10008003,89	10007114,33	6494204,909	4782418,454	4782418,454	4782524,52
93	-0,004	43				6913911,228	3569791,547	4670194,267	6525209,995	4893600,371	3741806,349	4781389,367	4781389,367	4781389,367	6583952,193	6585732,245	6425215,601	10082947,18	15233728,84	10008003,89	10007114,33	6525209,995	4893578,025	4893578,025	4893680,439
94	-0,004	44				6941756,676	3672349,408	4781389,367	6557300,907	5004760,806	3775598,779	4892584,468	4892584,468	4892584,468	6690033,507	6691746,798	6466200,609	10084354,94	15122533,74	10008003,89	10007114,33	6557300,907	5004738,854	5004738,854	5004837,746
95	-0,004	45				6970549,842	3775342,347	4892584,468	6590458,843	5115922,434	3811986,043	5003779,569	5003779,569	5003779,569	6796213,866	6797861,596	6508223,311	10085739,17	15011338,64	10008003,89	10007114,33	6590458,843	5115900,855	5115900,855	5115996,346
96	-0,004	46				7000275,926	3878735,297	5003779,569	6624664,732	5227085,175	3850893,614	5114974,669	5114974,669	5114974,669	6902487,709	6904071,016	6551260,219	10087099,46	14900143,54	10008003,89	10007114,33	6624664,732	5227063,95	5227063,95	5227156,152
97	-0,004	47				7030919,869	3982496,687	5114974,669	6659899,262	5338248,955	3892244,872	5226169,77	5226169,77	5226169,77	7008849,774	7010369,734	6595287,849	10088435,39	14788948,44	10008003,89	10007114,33	6659899,262	5338228,067	5338228,067	5338317,084
98	-0,004	48				7062466,384	4086598,031	5226169,77	6696142,915	5449413,707	3935961,688	5337364,87	5337364,87	5337364,87	7115295,076	7116752,706	6640282,755	10089746,54	14677753,34	10008003,89	10007114,33	6696142,915	5449393,138	5449393,138	5449479,07
99	-0,004	49				7094899,97	4191013,571	5337364,87	6733376,004	5560579,369	3981964,975	5448559,971	5448559,971	5448559,971	7221818,882	7223215,144	6686221,56	10091032,53	14566558,24	10008003,89	10007114,33	6733376,004	5560559,104	5560559,104	5560642,043
100	-0,004	50				7128204,944	4295719,96	5448559,971	6771578,7	5671745,883	4030175,193	5559755,072	5559755,072	5559755,072	7328416,694	7329752,498	6733080,982	10092292,96	14455363,14	10008003,89	10007114,33	6771578,7	5671725,908	5671725,908	5671805,939
101	-0,004	51				7162365,453	4400696	5559755,072	6810731,064	5782913,197	4080512,812	5670950,173	5670950,173	5670950,173	7435084,233	7436360,438	6780837,862	10093527,44	14344168,04	10008003,89	10007114,33	6810731,064	5782893,498	5782893,498	5782970,702
102	-0,004	52				7197365,503	4505922,397	5670950,173	6850813,079	5894081,262	4132898,728	5782145,273	5782145,273	5782145,273	7541817,42	7543034,834	6829469,189	10094735,6	14232972,94	10008003,89	10007114,33	6850813,079	5894061,824	5894061,824	5894136,277
103	-0,004	53				7233188,974	4611381,562	5782145,273	6891804,671	6005250,031	4187254,632	5893340,374	5893340,374	5893340,374	7648612,36	7649771,748	6878952,119	10095917,07	14121777,84	10008003,89	10007114,33	6891804,671	6005230,842	6005230,842	6005302,616
104	-0,004	54				7269819,642	4717057,423	5893340,374	6933685,743	6116419,462	4243503,328	6004535,475	6004535,475	6004535,475	7755465,331	7756567,41	6929263,999	10097071,5	14010582,74	10008003,89	10007114,33	6933685,743	6116400,511	6116400,511	6116469,672
105	-0,004	55				7307241,197	4822935,27	6004535,475	6976436,191	6227589,516	4301569,009	6115730,576	6115730,576	6115730,576	7862372,767	7863418,213	6980382,381	10098198,52	13899387,64	10008003,89	10007114,33	6976436,191	6227570,791	6227570,791	6227637,402
106	-0,004	56				7345437,261	4929001,615	6115730,576	7020035,933	6338760,155	4361377,49	6226925,676	6226925,676	6226925,676	7969331,251	7970320,698	7032285,037	10099297,8	13788192,54	10008003,89	10007114,33	7020035,933	6338741,645	6338741,645	6338805,766
107	-0,004	57				7384391,404	5035244,065	6226925,676	7064464,928	6449931,346	4422856,399	6338120,777	6338120,777	6338120,777	8076337,498	8077271,541	7084949,979	10100369	13676997,43	10008003,89	10007114,33	7064464,928	6449913,04	6449913,04	6449974,726
